time_s,rho_Area1_per_s,rho_Area2_per_s,rho_Area3_per_s,rho_Area4_per_s,rho_Area5_per_s,omega_Area1_rad_per_s,omega_Area2_rad_per_s,omega_Area3_rad_per_s,omega_Area4_rad_per_s,omega_Area5_rad_per_s,df_Area1_Hz,df_Area2_Hz,df_Area3_Hz,df_Area4_Hz,df_Area5_Hz
10.05,-0.00110738799435068,0.00144707364949123,0.000454419412546964,-0.00106738902781546,0.000326802504874771,-0.561428792512507,-0.552124016317971,-0.581245100143538,-0.488818941668851,-0.650112361869496,-0.0893541675224796,-0.0878732663967554,-0.0925080308357877,-0.0777979508435465,-0.103468595956677
10.06,-0.00111417170382362,0.00140977898421158,0.000461501559917156,-0.00101696808718809,0.000510868623127754,-0.560749055672445,-0.551157855505549,-0.58116537899426,-0.489858093322617,-0.652870256908546,-0.089245984044382,-0.0877194971276367,-0.0924953428208113,-0.0779633369658654,-0.103907528584671
10.07,-0.00112019819525583,0.0013722311692071,0.000469265605937339,-0.000965221464233949,0.000694812990905418,-0.560064940914712,-0.550192320619378,-0.581067424180344,-0.490920786049999,-0.65556250260518,-0.0891371037990467,-0.0875658274777749,-0.0924797528279768,-0.0781324697664161,-0.104336012795308
10.08,-0.0011254755026836,0.00133445740121862,0.000477588507110323,-0.000912975401227944,0.00088191807632374,-0.559376922781174,-0.549227929577816,-0.580951211827177,-0.492006326938295,-0.658187679504603,-0.0890276023121572,-0.0874123398764368,-0.0924612570575221,-0.0783052389647168,-0.104753822675342
10.09,-0.00113000144846483,0.00129647629610791,0.000486774903393439,-0.000860672120242716,0.00106860003529468,-0.558685469813802,-0.548265198031183,-0.580816757218568,-0.493114008176102,-0.660744429953209,-0.0889175541544844,-0.0872591163919196,-0.0924398579419403,-0.0784815319090839,-0.10516074214749
10.1,-0.00113374626722156,0.00125829361910408,0.000497397434203129,-0.00080711173631779,0.00125469527084646,-0.557991047189607,-0.547304639197686,-0.58066408608822,-0.494243116640546,-0.663231419079191,-0.088807033361249,-0.087106238705438,-0.0924155595768781,-0.0786612351024871,-0.105556558760306
10.11,-0.00113667747290497,0.00121991342462927,0.000508278019590599,-0.000752396154504374,0.00144180302680829,-0.55729411198111,-0.546346763140982,-0.580493264123871,-0.495392930415352,-0.665647375280517,-0.0886961126778019,-0.0869537879961442,-0.0923883724168633,-0.0788442336483826,-0.10594107013204
10.12,-0.00113877286665092,0.0011813464944866,0.00051948439257936,-0.000697790157499039,0.00162537944129725,-0.556595117950649,-0.545392077219794,-0.580304367120017,-0.496562729738751,-0.667991055962797,-0.0885848643226623,-0.0868018450126868,-0.0923583085249646,-0.0790304129931272,-0.106314078497654
10.13,-0.00114002230890024,0.00114260976707089,0.000532457518503862,-0.000642361926986089,0.00180696418188321,-0.555894508824386,-0.544441084731916,-0.580097511672943,-0.497751787890341,-0.670261281759403,-0.0884733589170423,-0.0866504898573979,-0.0923253864580573,-0.0792196574755764,-0.106675396155119
10.14,-0.00114044905240273,0.00110373918378181,0.000546413407833633,-0.000585240480510148,0.00198789145626702,-0.555192724867536,-0.543494286055603,-0.579872827077231,-0.498959373878466,-0.672456903387999,-0.0883616665313269,-0.0864998021679497,-0.0922896267940132,-0.079411850754795,-0.107024840190469
10.15,-0.00114007646037709,0.00106477010775294,0.00056060619677033,-0.000528924082295934,0.00216766167621923,-0.554490194547408,-0.542552176696493,-0.579630484288931,-0.500184746668911,-0.674576833190246,-0.0882498553582067,-0.0863498608065143,-0.0922510567413326,-0.0796068748915246,-0.107362237497505
10.16,-0.00113891324091898,0.00102573436243445,0.000576417567459591,-0.000473455122030401,0.00234660312974573,-0.553787341617325,-0.54161524916162,-0.579370666519335,-0.501427153307367,-0.676620009117438,-0.0881379928401174,-0.0862007441580204,-0.0922097054589983,-0.079804610049365,-0.107687419045924
10.17,-0.00113695017077239,0.000986649906844107,0.00059377704029795,-0.000416175431358735,0.00252434679217936,-0.553084576682916,-0.540683990319389,-0.579093598032696,-0.50268583224845,-0.678585431639997,-0.0880261443269745,-0.0860525297099812,-0.0921656086397746,-0.0800049350246042,-0.108000225755653
10.18,-0.0011341422163675,0.000947517468097852,0.000611551373939508,-0.000358505947542276,0.00270075747074116,-0.552382305421928,-0.539758883983702,-0.578799513319137,-0.503960016787994,-0.680472131118246,-0.0879143743843969,-0.085905294463771,-0.092118803603924,-0.0802077277924838,-0.108300503303745
10.19,-0.00113044346287323,0.000908334801443961,0.000630312329191185,-0.000301952472081344,0.00287540060120594,-0.551680919816982,-0.538840407467165,-0.578488686127919,-0.505248937944233,-0.682279204170985,-0.0878027453983563,-0.0857591143860503,-0.0920693339199943,-0.080412865965755,-0.108588107912617
10.2,-0.00112583149424708,0.000869111740990259,0.00065032200580533,-0.000243798084014099,0.00304817312251236,-0.550980807936655,-0.537929034809389,-0.578161401041164,-0.506551829492932,-0.684005786486497,-0.0876913191318849,-0.0856140649225665,-0.0920172448806369,-0.080620227596043,-0.108862902022786
10.21,-0.00112030215014363,0.000829865113322814,0.000671443059006254,-0.00018415463669091,0.00321892488943819,-0.550282343498299,-0.537025232639856,-0.577817978910271,-0.507867924700678,-0.685651079499645,-0.0875801550639466,-0.0854702203397082,-0.0919625875509382,-0.0808296906539354,-0.109124758538663
10.22,-0.00111389527861523,0.000790643208860529,0.00069360782751457,-0.000125508537218819,0.00338766897254789,-0.549585895828101,-0.536129464081474,-0.577458750864928,-0.509196452304275,-0.687214319258516,-0.0874693119746297,-0.0853276543457753,-0.0919054146318246,-0.0810411323890818,-0.109373555873525
10.23,-0.0011066416797801,0.000751483375381153,0.000716672368620212,-6.69539052090547e-05,0.0035543911815512,-0.548891819213319,-0.535242184019394,-0.577084080780424,-0.510536638642165,-0.688694805312997,-0.0873588462505026,-0.0851864393379884,-0.0918457840358471,-0.0812544296694213,-0.109609182547274
10.24,-0.00109852418289793,0.000712406871362519,0.000740627242128459,-8.05285099500944e-06,0.00371901076307274,-0.548200462448972,-0.534363843855545,-0.576694340128885,-0.511887700656642,-0.690091867297442,-0.0872488134040168,-0.0850466471591957,-0.0917837548846308,-0.0814694578674491,-0.109831531867904
10.25,-0.00108954317006381,0.000673437079467679,0.00076539635954659,5.08846993740359e-05,0.00388142947925842,-0.547512158766352,-0.533494885943576,-0.576289927968584,-0.513248849776779,-0.691404893023537,-0.0871392664705795,-0.0849083482121671,-0.0917193906902725,-0.081686091478204,-0.110040506402619
10.26,-0.00107971156753284,0.000634608316688829,0.000790903599705129,0.000109949505749052,0.00404171037495713,-0.546827236424042,-0.53263574911632,-0.575871249194558,-0.514619291428273,-0.692633303299926,-0.0870302576941668,-0.084771612339317,-0.0916527558938185,-0.0819042040412583,-0.110236013970251
10.27,-0.00106897977042854,0.000595906336487876,0.000817191069847488,0.000169087864176246,0.00419974647463029,-0.546146008870725,-0.531786862405844,-0.575438732852534,-0.515998233613402,-0.693776584150555,-0.086921836961686,-0.0846365078232196,-0.0915839187800174,-0.0821236695062595,-0.110417972768971
10.28,-0.00105729787894646,0.000557332975011022,0.000844321438564975,0.00022829138777686,0.00435541362340151,-0.54546878535312,-0.530948651183437,-0.574992813765357,-0.517384882767682,-0.694834259503407,-0.0868140534912811,-0.0845031023638185,-0.0915129485530741,-0.0823443615734973,-0.110586307029564
10.29,-0.00104467159976804,0.000518897570910242,0.000872229178409715,0.000287529845921774,0.00450867562701527,-0.544795861889407,-0.530121530090211,-0.574533947553076,-0.518778453065255,-0.695805924078566,-0.0867069543957086,-0.084371461953296,-0.0914399177271719,-0.0825661551749022,-0.110740952249728
10.3,-0.00103109303023322,0.000480624956708136,0.000900879274771734,0.000346745849862563,0.00465949032957077,-0.544127531174188,-0.529305910013281,-0.57406259647026,-0.520178161202646,-0.696691218151537,-0.0866005862587613,-0.0842416519863676,-0.0913648998724099,-0.0827889256438539,-0.110881851177531
10.31,-0.00101654360760424,0.000442509715782973,0.000930228215074901,0.000405877037718497,0.00480758283571143,-0.543464072642227,-0.528502190256734,-0.573579236542674,-0.521583229059049,-0.697489847522567,-0.0864949935538633,-0.0841137360142525,-0.091287970750642,-0.08301254913858,-0.111008956989629
10.32,-0.00100106827516085,0.000404632219315751,0.000960082437286694,0.000464806101562176,0.00495266675067172,-0.542805761953444,-0.527710766236149,-0.573084346400745,-0.522992874046377,-0.698201555363725,-0.0863902201536533,-0.0839877769692947,-0.0912092065382666,-0.0832369011063179,-0.111122228810586
10.33,-0.000984718596171505,0.00036700286291909,0.000990229857289469,0.000523596106837008,0.00509465945031227,-0.542152861662883,-0.526932021082573,-0.572578410323173,-0.524406314819314,-0.698826143053389,-0.0862863078450644,-0.0838638358286943,-0.0911286843106325,-0.0834618571920984,-0.111221635028791
10.34,-0.000967511935064341,0.00032975451291729,0.00102053244436936,0.000582273331951146,0.0052335203200928,-0.541505629326407,-0.526166334117477,-0.572061909236597,-0.525822759170888,-0.699363437598998,-0.0861832976193853,-0.0837419729633382,-0.0910464806095916,-0.0836872913122662,-0.111307148111621
10.35,-0.000949438743916439,0.000292756246463768,0.00105091667760965,0.000640621727811235,0.00536919680222681,-0.540864310531253,-0.525414071673084,-0.571535324917515,-0.527241418631205,-0.699813325582165,-0.0860812285630388,-0.0836222466768106,-0.0909626721122549,-0.0839130779779396,-0.111378750007979
10.36,-0.000930449355936527,0.000255919113913504,0.00108145266426885,0.000698903910382689,0.00550188461212288,-0.540229147425366,-0.524675596358024,-0.570999137899066,-0.528661502645368,-0.700175731024637,-0.0859801392150672,-0.0835047146800676,-0.0908773352978471,-0.0841390913683995,-0.111436428625552
10.37,-0.000910493113950393,0.000219507736671988,0.00111222203997469,0.00075679822111229,0.00563176590651522,-0.539600372440748,-0.523951257034866,-0.57045382735063,-0.530082231680596,-0.700450645926883,-0.0858800665681727,-0.0833894324963111,-0.0907905464285435,-0.0843652074171501,-0.111480182691174
10.38,-0.00088956218209782,0.000183058656350736,0.00114321372342133,0.000814004820307197,0.00575883930738218,-0.538978216679034,-0.523241398635923,-0.569899875398138,-0.531502832263643,-0.700638113485079,-0.0857810474033229,-0.0832764550232241,-0.0907023822370689,-0.0845913030221013,-0.111510019079731
10.39,-0.000867667471193181,0.000147191188344881,0.00117433733575851,0.000871161049887128,0.00588291884185335,-0.53836290287053,-0.522546351597862,-0.569337757053921,-0.532922543145657,-0.70073824330946,-0.0856831171691468,-0.0831658348514352,-0.0906129183239841,-0.0848172570267351,-0.111525955236232
10.4,-0.000844860983532568,0.000112444948273141,0.00120535214280831,0.000928612393449141,0.00600357397746496,-0.537754651555403,-0.521866442353029,-0.568767944295539,-0.534340601531739,-0.700751182615264,-0.0855863109657022,-0.0830576239342662,-0.0905222298068509,-0.0850429480284731,-0.111528014590711
10.41,-0.000821197285208038,7.75814672765578e-05,0.00123600161264158,0.00098490248609815,0.00612042910262185,-0.537153675133082,-0.521201982200105,-0.56819089346111,-0.535756252159851,-0.700677135227634,-0.0854906625974081,-0.0829518718164408,-0.0904303893141361,-0.0852682558236282,-0.111516229582946
10.42,-0.000796700308391271,4.25956338920197e-05,0.0012661344797155,0.00104036232532993,0.00623335702135889,-0.536560182401862,-0.520553278645516,-0.567607050071153,-0.537168730481358,-0.700516327173262,-0.0853962052955453,-0.0828486274391267,-0.090337467752633,-0.0854930587305063,-0.111490636186204
10.43,-0.000771362897674081,8.85748526389616e-06,0.00129568660244648,0.00109624629309325,0.0063424029073163,-0.535974375013132,-0.519920623482443,-0.567016839996936,-0.5385772801344,-0.700269041196603,-0.0853029711539293,-0.0827479372426509,-0.0902435329018587,-0.0857172363703782,-0.111451279400661
10.44,-0.000745151915399312,-2.49844397831305e-05,0.00132474881054764,0.00115136842622874,0.00644794593142201,-0.535396452628292,-0.51930430473699,-0.566420682795801,-0.539981143494247,-0.699935596471176,-0.0852109919496584,-0.0826498470677919,-0.0901486515364383,-0.0859406681635235,-0.111398210024362
10.45,-0.000718032331338574,-5.88843664216459e-05,0.0013534348543513,0.00120532510890205,0.00655034730471527,-0.534826609865937,-0.518704594071946,-0.565818978833621,-0.541379577432447,-0.699516378051546,-0.0851202986572446,-0.0825544001510252,-0.0900528873765793,-0.0861632358373754,-0.111331489340643
